"Step","LunarLander_with_labels_3500_good_reward - episode_reward","LunarLander_with_labels_3500_good_reward - episode_reward__MIN","LunarLander_with_labels_3500_good_reward - episode_reward__MAX"
"0","-179.77424652534262","-179.77424652534262","-179.77424652534262"
"1","-174.47623458693272","-174.47623458693272","-174.47623458693272"
"2","-180.70374582961202","-180.70374582961202","-180.70374582961202"
"3","-226.73633883428477","-226.73633883428477","-226.73633883428477"
"4","-270.62240305155024","-270.62240305155024","-270.62240305155024"
"5","-225.75081796168274","-225.75081796168274","-225.75081796168274"
"6","-285.7500671351621","-285.7500671351621","-285.7500671351621"
"7","-222.19740127970516","-222.19740127970516","-222.19740127970516"
"8","-333.96054170876744","-333.96054170876744","-333.96054170876744"
"9","-189.00883676388065","-189.00883676388065","-189.00883676388065"
"10","-151.65318368308243","-151.65318368308243","-151.65318368308243"
"11","-185.78323914958622","-185.78323914958622","-185.78323914958622"
"12","-192.6591984977909","-192.6591984977909","-192.6591984977909"
"13","-357.9072945344303","-357.9072945344303","-357.9072945344303"
"14","-259.92474930598314","-259.92474930598314","-259.92474930598314"
"15","-233.11413907993048","-233.11413907993048","-233.11413907993048"
"16","-323.6715529026037","-323.6715529026037","-323.6715529026037"
"17","-339.84906777580284","-339.84906777580284","-339.84906777580284"
"18","-296.92366031123026","-296.92366031123026","-296.92366031123026"
"19","-315.184287038595","-315.184287038595","-315.184287038595"
"20","-291.90831914273855","-291.90831914273855","-291.90831914273855"
"21","-136.08847627460207","-136.08847627460207","-136.08847627460207"
"22","-186.96323844008148","-186.96323844008148","-186.96323844008148"
"23","-59.555784879383936","-59.555784879383936","-59.555784879383936"
"24","-307.864735037422","-307.864735037422","-307.864735037422"
"25","-73.72989256341435","-73.72989256341435","-73.72989256341435"
"26","-254.41162320762453","-254.41162320762453","-254.41162320762453"
"27","-222.86246503432","-222.86246503432","-222.86246503432"
"28","-50.23202985597554","-50.23202985597554","-50.23202985597554"
"29","-118.92078209132374","-118.92078209132374","-118.92078209132374"
"30","-289.13561626710214","-289.13561626710214","-289.13561626710214"
