"Step","LunarLander_with_labels_1000_good_reward - episode_reward","LunarLander_with_labels_1000_good_reward - episode_reward__MIN","LunarLander_with_labels_1000_good_reward - episode_reward__MAX"
"54","-398.96918729662895","-398.96918729662895","-398.96918729662895"
"55","-112.89103095486762","-112.89103095486762","-112.89103095486762"
"56","-100.55358298127196","-100.55358298127196","-100.55358298127196"
"57","-71.44817832985893","-71.44817832985893","-71.44817832985893"
"58","-14.699418593459121","-14.699418593459121","-14.699418593459121"
"59","-81.78103051707154","-81.78103051707154","-81.78103051707154"
"60","-488.33160576450655","-488.33160576450655","-488.33160576450655"
"61","-71.32875011962167","-71.32875011962167","-71.32875011962167"
"62","-426.97132791519175","-426.97132791519175","-426.97132791519175"
"63","-298.92448283791543","-298.92448283791543","-298.92448283791543"
"64","-557.7925063716966","-557.7925063716966","-557.7925063716966"
"65","-240.67808803945695","-240.67808803945695","-240.67808803945695"
"66","-306.81998359688896","-306.81998359688896","-306.81998359688896"
"67","-276.49727250077433","-276.49727250077433","-276.49727250077433"
"68","-300.05177629627826","-300.05177629627826","-300.05177629627826"
"69","-167.3014668382629","-167.3014668382629","-167.3014668382629"
"70","-360.2752825545462","-360.2752825545462","-360.2752825545462"
"71","-283.71790567662686","-283.71790567662686","-283.71790567662686"
"72","-261.1046448310686","-261.1046448310686","-261.1046448310686"
"73","-88.03240467964248","-88.03240467964248","-88.03240467964248"
"74","-406.1016873541633","-406.1016873541633","-406.1016873541633"
"75","-296.6223045342092","-296.6223045342092","-296.6223045342092"
"76","-324.1757661915151","-324.1757661915151","-324.1757661915151"
"77","-398.6822620254755","-398.6822620254755","-398.6822620254755"
"78","-334.8194310232428","-334.8194310232428","-334.8194310232428"
"79","-105.03728882972749","-105.03728882972749","-105.03728882972749"
"80","-204.8091082258839","-204.8091082258839","-204.8091082258839"
"81","-459.51937439731574","-459.51937439731574","-459.51937439731574"
"82","-273.16807300406214","-273.16807300406214","-273.16807300406214"
"83","-173.2168948304997","-173.2168948304997","-173.2168948304997"
"84","-381.8002880493726","-381.8002880493726","-381.8002880493726"
"85","-275.6947303780039","-275.6947303780039","-275.6947303780039"
"86","-344.55584692544187","-344.55584692544187","-344.55584692544187"
"87","-234.95042178606013","-234.95042178606013","-234.95042178606013"
"88","-365.99697892911735","-365.99697892911735","-365.99697892911735"
"89","-119.31444262802601","-119.31444262802601","-119.31444262802601"
"90","-534.772579664588","-534.772579664588","-534.772579664588"
"91","-333.58230900885104","-333.58230900885104","-333.58230900885104"
"92","-85.30116031546147","-85.30116031546147","-85.30116031546147"
"93","-396.77269429359995","-396.77269429359995","-396.77269429359995"
"94","-294.3175710141434","-294.3175710141434","-294.3175710141434"
"95","-447.7446929077515","-447.7446929077515","-447.7446929077515"
"96","-317.8033418078585","-317.8033418078585","-317.8033418078585"
"97","-281.64672012365315","-281.64672012365315","-281.64672012365315"
"98","-141.05763666084482","-141.05763666084482","-141.05763666084482"
"99","-199.93450304347797","-199.93450304347797","-199.93450304347797"
"100","-255.9522664391271","-255.9522664391271","-255.9522664391271"
